customer_state,product_category_name_english,row_count
AC,furniture_decor,12
AL,health_beauty,63
AM,health_beauty,20
AP,health_beauty,10
BA,health_beauty,350
CE,health_beauty,167
DF,health_beauty,246
ES,bed_bath_table,225
GO,bed_bath_table,235
MA,health_beauty,89
MG,bed_bath_table,1331
MS,sports_leisure,75
MT,health_beauty,90
PA,health_beauty,107
PB,health_beauty,78
PE,health_beauty,240
PI,health_beauty,54
PR,furniture_decor,520
RJ,bed_bath_table,1644
RN,health_beauty,58
RO,health_beauty,25
RR,sports_leisure,8
RS,bed_bath_table,614
SC,sports_leisure,363
SE,health_beauty,40
SP,bed_bath_table,5235
TO,health_beauty,36
